X[s],Quattro sensor 1: EMG.A 1,X[s],Quattro sensor 1: EMG.B 1,X[s],Quattro sensor 1: EMG.C 1,X[s],Quattro sensor 1: EMG.D 1,X[s],Quattro sensor 1: Pitch 1,X[s],Quattro sensor 1: Roll 1,X[s],Quattro sensor 1: Yaw 1,X[s],Quattro sensor 2: EMG.A 2,X[s],Quattro sensor 2: EMG.B 2,X[s],Quattro sensor 2: EMG.C 2,X[s],Quattro sensor 2: EMG.D 2,X[s],Quattro sensor 2: Pitch 2,X[s],Quattro sensor 2: Roll 2,X[s],Quattro sensor 2: Yaw 2,X[s],Quattro sensor 3: EMG.A 3,X[s],Quattro sensor 3: EMG.B 3,X[s],Quattro sensor 3: EMG.C 3,X[s],Quattro sensor 3: EMG.D 3,X[s],Quattro sensor 3: Pitch 3,X[s],Quattro sensor 3: Roll 3,X[s],Quattro sensor 3: Yaw 3,X[s],Quattro sensor 4: EMG.A 4,X[s],Quattro sensor 4: EMG.B 4,X[s],Quattro sensor 4: EMG.C 4,X[s],Quattro sensor 4: EMG.D 4,X[s],Quattro sensor 4: Pitch 4,X[s],Quattro sensor 4: Roll 4,X[s],Quattro sensor 4: Yaw 4,Mean Yaw,Yaw SD,Mean Pitch ,Pitch SD,Mean Roll,Roll SD
0.1485,0,0.1485,0,0.1485,0,0.1485,0,0.4455,1.551479,0.4455,1.738841,0.4455,168.1281,0.1485,0,0.1485,0,0.1485,0,0.1485,0,0.4455,0.3638775,0.4455,-0.03364308,0.4455,171.978,0.1485,0,0.1485,0,0.1485,0,0.1485,0,0.4455,-0.133987,0.4455,-4.100192,0.4455,167.3572,0.1485,0,0.1485,0,0.1485,0,0.1485,0,0.4455,-0.02234722,0.4455,-0.2837421,0.4455,165.9724,168.358925,2.572284237,0.43975557,0.771234074,-0.669684045,2.457836245
0.153,0,0.153,0,0.153,0,0.153,0,0.459,1.551633,0.459,1.741502,0.459,168.1277,0.153,0,0.153,0,0.153,0,0.153,0,0.459,0.3653689,0.459,-0.03620384,0.459,171.9894,0.153,0,0.153,0,0.153,0,0.153,0,0.459,-0.135494,0.459,-4.097673,0.459,167.3669,0.153,0,0.153,0,0.153,0,0.153,0,0.459,-0.02130837,0.459,-0.284938,0.459,165.968,168.363,2.577749875,0.440049883,0.771426487,-0.66932821,2.457251351
0.1575,0,0.1575,0,0.1575,0,0.1575,0,0.4725,1.549497,0.4725,1.742865,0.4725,168.1097,0.1575,0,0.1575,0,0.1575,0,0.1575,0,0.4725,0.3679831,0.4725,-0.03603896,0.4725,171.9951,0.1575,0,0.1575,0,0.1575,0,0.1575,0,0.4725,-0.1371396,0.4725,-4.098293,0.4725,167.3656,0.1575,0,0.1575,0,0.1575,0,0.1575,0,0.4725,-0.02278056,0.4725,-0.2868916,0.4725,165.9482,168.35465,2.587282887,0.439389985,0.771021942,-0.66958964,2.457898043
0.162,0,0.162,0,0.162,0,0.162,0,0.486,1.548559,0.486,1.74402,0.486,168.1141,0.162,0,0.162,0,0.162,0,0.162,0,0.486,0.3707886,0.486,-0.03840991,0.486,171.9758,0.162,0,0.162,0,0.162,0,0.162,0,0.486,-0.1329066,0.486,-4.097873,0.486,167.3567,0.162,0,0.162,0,0.162,0,0.162,0,0.486,-0.02152976,0.486,-0.2893923,0.486,165.9235,168.342525,2.586915672,0.44122781,0.769181152,-0.670413803,2.457747847
0.1665,0,0.1665,0,0.1665,0,0.1665,0,0.4995,1.549768,0.4995,1.746606,0.4995,168.126,0.1665,0,0.1665,0,0.1665,0,0.1665,0,0.4995,0.3694239,0.4995,-0.03759417,0.4995,171.9649,0.1665,0,0.1665,0,0.1665,0,0.1665,0,0.4995,-0.1309131,0.4995,-4.097684,0.4995,167.3496,0.1665,0,0.1665,0,0.1665,0,0.1665,0,0.4995,-0.02193803,0.4995,-0.2894476,0.4995,165.9134,168.338475,2.585534531,0.441585193,0.769390334,-0.669529943,2.458574014
0.171,0,0.171,0,0.171,0,0.171,0,0.513,1.547481,0.513,1.750069,0.513,168.1137,0.171,0,0.171,0,0.171,0,0.171,0,0.513,0.3683258,0.513,-0.04077927,0.513,171.9776,0.171,0,0.171,0,0.171,0,0.171,0,0.513,-0.1296145,0.513,-4.101441,0.513,167.3618,0.171,0,0.171,0,0.171,0,0.171,0,0.513,-0.01794206,0.513,-0.2894016,0.513,165.8984,168.337875,2.594970339,0.44206256,0.767204003,-0.670388218,2.461184983
0.1755,0,0.1755,0,0.1755,0,0.1755,0,0.5265,1.546692,0.5265,1.752311,0.5265,168.1053,0.1755,0,0.1755,0,0.1755,0,0.1755,0,0.5265,0.3706867,0.5265,-0.04325839,0.5265,171.9824,0.1755,0,0.1755,0,0.1755,0,0.1755,0,0.5265,-0.1310467,0.5265,-4.101584,0.5265,167.3654,0.1755,0,0.1755,0,0.1755,0,0.1755,0,0.5265,-0.01884896,0.5265,-0.2890756,0.5265,165.8927,168.33645,2.598796766,0.44187076,0.767288346,-0.670401748,2.461792513
0.18,0,0.18,0,0.18,0,0.18,0,0.54,1.549612,0.54,1.753885,0.54,168.1379,0.18,0,0.18,0,0.18,0,0.18,0,0.54,0.3695913,0.54,-0.04638854,0.54,171.978,0.18,0,0.18,0,0.18,0,0.18,0,0.54,-0.1330163,0.54,-4.102696,0.54,167.3624,0.18,0,0.18,0,0.18,0,0.18,0,0.54,-0.01808643,0.54,-0.288101,0.54,165.8918,168.342525,2.596487878,0.442025143,0.769062336,-0.670825135,2.462610789
0.1845,0,0.1845,0,0.1845,0,0.1845,0,0.5535,1.549086,0.5535,1.753531,0.5535,168.1283,0.1845,0,0.1845,0,0.1845,0,0.1845,0,0.5535,0.3708359,0.5535,-0.04544595,0.5535,171.9846,0.1845,0,0.1845,0,0.1845,0,0.1845,0,0.5535,-0.1341811,0.5535,-4.102417,0.5535,167.3571,0.1845,0,0.1845,0,0.1845,0,0.1845,0,0.5535,-0.01631517,0.5535,-0.2883191,0.5535,165.8988,168.3422,2.598297939,0.442356408,0.768709023,-0.670662763,2.462433436
0.189,0,0.189,0,0.189,0,0.189,0,0.567,1.545277,0.567,1.757009,0.567,168.1339,0.189,0,0.189,0,0.189,0,0.189,0,0.567,0.3729112,0.567,-0.0501688,0.567,171.9995,0.189,0,0.189,0,0.189,0,0.189,0,0.567,-0.1423432,0.567,-4.102461,0.567,167.3517,0.189,0,0.189,0,0.189,0,0.189,0,0.567,-0.01447919,0.567,-0.2889721,0.567,165.9015,168.34665,2.604947838,0.440341453,0.76850778,-0.671148225,2.46316388
